Area_Year,9_Postsecondary enrolments_Canada,"2_Number of students in elementary and secondary schools_Total, school type Total, program type",3_Number of full-time and part-time educators_Canada,"1_Live births_Total, Canada and place of residence of mother outside Canada 10 11",6_Estimates of population_Canada,7_Dependency ratio_Canada,5_Household spending_Total expenditure,4_Canada_gdp_yearly_Final consumption expenditure,4_Canada_gdp_yearly_Gross fixed capital formation,4_Canada_gdp_yearly_Investment in inventories,4_Canada_gdp_yearly_Exports of goods and services,4_Canada_gdp_yearly_Less: imports of goods and services,4_Canada_gdp_yearly_Statistical discrepancy,4_Canada_gdp_yearly_Gross domestic product at market prices,4_Canada_gdp_yearly_Final domestic demand,8_Canadian government finance statistics for the federal government_Gross operating balance 5 6,8_Canadian government finance statistics for the federal government_Net operating balance 7,8_Canadian government finance statistics for the federal government_Net worth 3 10 11
Canada_2001,0.6594802440156902,0.933790264722713,0.0,0.079110981215293,0.8110865081726353,0.9474474474474476,0.0,0.2576868044803782,0.3543236715865121,0.3911215473171988,0.6462525481172071,0.3811131553643259,0.4704610492845786,0.388282660649816,0.2771752651987055,0.9544563710415416,0.9913475011676786,1.0
Canada_2002,0.6877947278910007,0.9355478229122692,0.8576652780869398,0.0161011770332386,0.8199547828512437,0.9384384384384384,0.0,0.3022808625199886,0.3651218057513963,0.4647221750510912,0.6610637458488285,0.3967506108423297,0.7437201907790143,0.4310148246307776,0.3141779945891355,0.9544563710415416,0.9913475011676786,1.0
Canada_2003,0.7155638306543567,0.9340211503830032,0.8617674181956942,0.1019076972128489,0.8273790413555533,0.9294294294294296,0.0,0.3385371587391703,0.4222151453679945,0.7009070520515538,0.6402155141540592,0.4329647187853891,0.7837837837837838,0.457292100096768,0.3558449684120514,0.9544563710415416,0.9913475011676786,1.0
Canada_2004,0.7580280008096002,0.9237627067827155,0.8716668582792536,0.1375109599596138,0.8351347845606987,0.921921921921922,0.0,0.3753820704982864,0.5193357656440409,0.7132802023739115,0.7065234074338512,0.5088124619406562,0.5839745627980921,0.5031305465039069,0.407511260348094,0.9544563710415416,0.9913475011676786,1.0
Canada_2005,0.7698313119277734,0.9171931982445708,0.8871434477056634,0.2215638866009506,0.8430597214477425,0.915915915915916,0.0,0.4191009222954855,0.6332490860426845,0.8753081576127374,0.7352686707497177,0.5799205661607951,0.645087440381558,0.5521783376079752,0.4685905859066884,0.9544563710415416,0.9913475011676786,1.0
Canada_2006,0.8355160788975518,0.883030497325618,0.926154139688022,0.3875043175598476,0.8516206184529778,0.9114114114114116,0.0,0.4733794460900797,0.7188048788569368,0.8320226265276127,0.7466725255834946,0.6351830039273458,0.4451510333863274,0.593794594251768,0.5310083448209771,0.9544563710415416,0.9913475011676786,1.0
Canada_2007,0.7985840239509772,0.9389440933846108,0.9400896746907494,0.5521295533650399,0.8599312939258735,0.9084084084084084,0.0,0.5305729029852644,0.7646711778544371,0.8024980529709029,0.7615229469821084,0.6983552955351995,0.2349761526232114,0.6273871287956465,0.5861269194194011,0.9544563710415416,0.9913475011676786,1.0
Canada_2008,0.8149646898929112,0.9595217124141966,0.9494460765488208,0.7053564311714533,0.8692941548642241,0.9084084084084084,0.0,0.579620162911834,0.7889688205256591,0.796595480550204,0.7015329063827708,0.7087128451570128,0.420349761526232,0.6440080220404312,0.6295165790657044,0.9421160741988824,0.9494745446053244,0.4714109223366417
Canada_2009,0.8313316182753502,0.9548767745953872,0.9606003752345216,0.742221749873794,0.8792762683388262,0.9084084084084084,0.0,0.5919656551154775,0.617208352815136,0.4766502901512534,0.5381413211667961,0.5640127068183958,0.2739586645468997,0.5950974070589727,0.5948465478094845,0.8186895405969059,0.8251089833411178,0.4303963937022157
Canada_2010,0.8729220796467067,0.9516831180698307,0.9626991445924888,0.6694741876345081,0.8891071768895497,0.906906906906907,0.769015737530008,0.6432551014355561,0.7721972896057374,0.5341945155264591,0.6113844135379635,0.7050326485625871,0.1427027027027027,0.6452375621376605,0.6726051487987733,0.8533264208818875,0.8589249571851159,0.3806431132998163
Canada_2011,0.8996457541324869,0.952756919632768,0.9620900611774144,0.6700852884129977,0.8978515696851671,0.90990990990991,0.785777540677514,0.6763728209119819,0.8418181952058199,0.8492618856610823,0.6678721785961564,0.7701340013390399,0.2417170111287758,0.6978668272099771,0.7151961254082108,0.8982730653972892,0.902164097773626,0.3215431679629761
Canada_2012,0.9150249519872296,0.947960675791682,0.96759382697628,0.721457608204692,0.9076537171402194,0.915915915915916,0.8076393704987996,0.7026692579873162,0.9185777241082244,0.7100712641928173,0.7023963955155411,0.8157073278365636,0.2448330683624801,0.7282516987256795,0.7544089975894378,0.9190064922058184,0.9216682235715395,0.3010359036457631
Canada_2013,0.9270535590811222,0.9502234599725764,0.971688628730636,0.6947684459441508,0.9172947501666115,0.921921921921922,0.8439477193918378,0.7314133672924654,0.9424519827259308,0.9673133340750588,0.7334291376136776,0.8421820293918185,0.4797456279809221,0.7691477206661714,0.7822742125128085,0.9739094233208831,0.9753464113342674,0.3175917323809361
Canada_2014,0.9401097356252468,0.9519323279888742,0.9851178172798676,0.7419826234822118,0.9265631701253584,0.9294294294294296,0.8613283542277941,0.7666240765242569,0.9800668946804556,0.8112757871560492,0.8151274882869036,0.8751069447283686,0.3697933227344991,0.8207151320398258,0.8185236412021851,0.9844312741297578,0.9856959364782812,0.2823965015577775
Canada_2015,0.9385175524797668,0.9547348924776126,0.986974420942685,0.7205675266360227,0.9335043468081942,0.93993993993994,0.882347292611363,0.8031721081575758,0.8910181834246984,0.5963062076557769,0.862098682198481,0.8851286527506022,0.2935453100158982,0.8328988221592051,0.8234661691964055,0.9999018117692342,1.0,0.2902785369883295
Canada_2016,0.9404490533447752,0.958748428694812,1.0,0.7354066477136856,0.94413494455083,0.951951951951952,0.901467057882102,0.8395957588207594,0.8156217670945913,0.5780656192723674,0.8820845616783636,0.8858106112966082,0.8315421303656597,0.8515297900412537,0.8316594085644992,0.9653827573611716,0.9648178421298458,0.3271161138660581
Canada_2017,0.9506862826805093,0.9689330517098366,0.0,0.6514334298695434,0.9555282342577646,0.9624624624624626,0.9226993865030676,0.899725635553468,0.8673197212292127,1.0,0.9029049388849792,0.9480278364554164,0.3129411764705881,0.9086531947382026,0.8903687165046111,0.9751269573823804,0.9744434065078624,0.3344319075971986
Canada_2018,0.9692058866358274,0.9789558976975832,0.0,0.6111539176873819,0.9691204143145646,0.9714714714714716,0.0,0.952608429337688,0.9075522511146046,0.9393346723428176,0.9588719955523772,0.9945064750909368,0.526168521462639,0.9624238324173844,0.9406007423352232,1.0,0.9961894753230576,0.3109635178562236
Canada_2019,0.9873188588300912,0.990657769337372,0.0,0.5903764912187475,0.9831387292234092,0.9804804804804804,1.0,0.979636928619244,0.9208704407980236,0.8668934784772768,1.0,1.0,0.539268680445151,1.0000000000000002,0.9644140288087988,0.9097178855753636,0.904363225906897,0.2524825163683071
Canada_2020,1.0,1.0,0.0,0.4269734569705345,0.9945379018817312,0.9909909909909912,0.0,0.8976241721553679,0.8810797029684745,0.0,0.8619918119174007,0.8637196971909364,0.4296979332273449,0.8971121423210682,0.8923941048115412,0.0,0.0,0.0
Canada_2021,0.9944678847913312,0.9930163632140332,0.0,0.5210165528602175,1.0,1.0,0.0,0.9999999999999998,1.0,0.4531278363675756,0.8812534747052824,0.966849567840544,0.389570747217806,0.9935750644079132,1.0,0.6541417759501675,0.6459520473299081,0.0431618348192071
